# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Strict Preservation
aux[15],Output,PIN_AG23,4,B4_N1,PIN_AG23,3.3-V LVTTL,,,,,
aux[14],Output,PIN_AF26,4,B4_N1,PIN_AF26,3.3-V LVTTL,,,,,
aux[13],Output,PIN_AE24,4,B4_N0,PIN_AE24,3.3-V LVTTL,,,,,
aux[12],Output,PIN_AE25,4,B4_N1,PIN_AE25,3.3-V LVTTL,,,,,
aux[11],Output,PIN_AD25,4,B4_N0,PIN_AD25,3.3-V LVTTL,,,,,
aux[10],Output,PIN_AD22,4,B4_N0,PIN_AD22,3.3-V LVTTL,,,,,
aux[9],Output,PIN_AF21,4,B4_N1,PIN_AF21,3.3-V LVTTL,,,,,
aux[8],Output,PIN_AC22,4,B4_N0,PIN_AC22,3.3-V LVTTL,,,,,
aux[7],Output,PIN_AE21,4,B4_N1,PIN_AE21,3.3-V LVTTL,,,,,
aux[6],Output,PIN_AF15,4,B4_N2,PIN_AF15,3.3-V LVTTL,,,,,
aux[5],Output,PIN_AF16,4,B4_N2,PIN_AF16,3.3-V LVTTL,,,,,
aux[4],Output,PIN_AE15,4,B4_N2,PIN_AE15,3.3-V LVTTL,,,,,
aux[3],Output,PIN_AE16,4,B4_N2,PIN_AE16,3.3-V LVTTL,,,,,
aux[2],Output,PIN_Y16,4,B4_N0,PIN_Y16,3.3-V LVTTL,,,,,
aux[1],Output,PIN_Y17,4,B4_N0,PIN_Y17,3.3-V LVTTL,,,,,
aux[0],Output,PIN_AC15,4,B4_N2,PIN_AC15,3.3-V LVTTL,,,,,
ds_ack,Input,PIN_AH23,4,B4_N1,PIN_AH23,3.3-V LVTTL,,,,,
ds_att,Output,PIN_AE20,4,B4_N1,PIN_AE20,3.3-V LVTTL,,,,,
ds_clk,Output,PIN_AF20,4,B4_N1,PIN_AF20,3.3-V LVTTL,,,,,
ds_cmd,Output,PIN_AH22,4,B4_N1,PIN_AH22,3.3-V LVTTL,,,,,
ds_data,Input,PIN_AG22,4,B4_N1,PIN_AG22,3.3-V LVTTL,,,,,
emulated_ds_ack,Output,PIN_AD15,4,B4_N2,PIN_AD15,3.3-V LVTTL,,,,,
emulated_ds_att,Input,PIN_AC21,4,B4_N0,PIN_AC21,3.3-V LVTTL,,,,,
emulated_ds_clk,Input,PIN_AD21,4,B4_N0,PIN_AD21,3.3-V LVTTL,,,,,
emulated_ds_cmd,Input,PIN_AB21,4,B4_N0,PIN_AB21,3.3-V LVTTL,,,,,
emulated_ds_data,Output,PIN_AB22,4,B4_N0,PIN_AB22,3.3-V LVTTL,,,,,
hex0[6],Output,PIN_H22,6,B6_N0,PIN_H22,3.3-V LVTTL,,,,,
hex0[5],Output,PIN_J22,6,B6_N0,PIN_J22,3.3-V LVTTL,,,,,
hex0[4],Output,PIN_L25,6,B6_N1,PIN_L25,3.3-V LVTTL,,,,,
hex0[3],Output,PIN_L26,6,B6_N1,PIN_L26,3.3-V LVTTL,,,,,
hex0[2],Output,PIN_E17,7,B7_N2,PIN_E17,2.5 V,,,,,
hex0[1],Output,PIN_F22,7,B7_N0,PIN_F22,2.5 V,,,,,
hex0[0],Output,PIN_G18,7,B7_N2,PIN_G18,2.5 V,,,,,
hex1[6],Output,PIN_U24,5,B5_N0,PIN_U24,3.3-V LVTTL,,,,,
hex1[5],Output,PIN_U23,5,B5_N1,PIN_U23,3.3-V LVTTL,,,,,
hex1[4],Output,PIN_W25,5,B5_N1,PIN_W25,3.3-V LVTTL,,,,,
hex1[3],Output,PIN_W22,5,B5_N0,PIN_W22,3.3-V LVTTL,,,,,
hex1[2],Output,PIN_W21,5,B5_N1,PIN_W21,3.3-V LVTTL,,,,,
hex1[1],Output,PIN_Y22,5,B5_N0,PIN_Y22,3.3-V LVTTL,,,,,
hex1[0],Output,PIN_M24,6,B6_N2,PIN_M24,3.3-V LVTTL,,,,,
hex2[6],Output,PIN_W28,5,B5_N1,PIN_W28,3.3-V LVTTL,,,,,
hex2[5],Output,PIN_W27,5,B5_N1,PIN_W27,3.3-V LVTTL,,,,,
hex2[4],Output,PIN_Y26,5,B5_N1,PIN_Y26,3.3-V LVTTL,,,,,
hex2[3],Output,PIN_W26,5,B5_N1,PIN_W26,3.3-V LVTTL,,,,,
hex2[2],Output,PIN_Y25,5,B5_N1,PIN_Y25,3.3-V LVTTL,,,,,
hex2[1],Output,PIN_AA26,5,B5_N1,PIN_AA26,3.3-V LVTTL,,,,,
hex2[0],Output,PIN_AA25,5,B5_N1,PIN_AA25,3.3-V LVTTL,,,,,
hex3[6],Output,PIN_Y19,4,B4_N0,PIN_Y19,3.3-V LVTTL,,,,,
hex3[5],Output,PIN_AF23,4,B4_N0,PIN_AF23,3.3-V LVTTL,,,,,
hex3[4],Output,PIN_AD24,4,B4_N0,PIN_AD24,3.3-V LVTTL,,,,,
hex3[3],Output,PIN_AA21,4,B4_N0,PIN_AA21,3.3-V LVTTL,,,,,
hex3[2],Output,PIN_AB20,4,B4_N0,PIN_AB20,3.3-V LVTTL,,,,,
hex3[1],Output,PIN_U21,5,B5_N0,PIN_U21,3.3-V LVTTL,,,,,
hex3[0],Output,PIN_V21,5,B5_N1,PIN_V21,3.3-V LVTTL,,,,,
